,flags,utterance,category,intent,response
111,BIPL,"['tell', 'could', 'create', 'two', 'user', 'account', 'single', 'email', 'please']",ACCOUNT,create_account,response for create_account
112,BL,"['want', 'know', 'create', 'several', 'profile', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
113,BILQC,"['havent', 'got', 'user', 'account', 'register']",ACCOUNT,create_account,response for create_account
114,BPLQD,"['ask', 'agent', 'could', 'open', 'user', 'account']",ACCOUNT,create_account,response for create_account
115,BIQC,"['want', 'account']",ACCOUNT,create_account,response for create_account
116,BMLQ,"['want', 'know', 'register', 'one', 'online', 'account', 'single', 'email']",ACCOUNT,create_account,response for create_account
117,BILQCZ,"['need', 'user', 'account', 'cani', 'create', 'one']",ACCOUNT,create_account,response for create_account
118,BILC,"['online', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
119,BILC,"['need', 'user', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
120,BILQ,"['one', 'profile']",ACCOUNT,create_account,response for create_account
121,BILC,"['want', 'online', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
122,BLC,"['profile', 'help', 'create', 'one']",ACCOUNT,create_account,response for create_account
123,BILC,"['got', 'online', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
124,BL,"['tell', 'create', 'two', 'user', 'account', 'single', 'email']",ACCOUNT,create_account,response for create_account
125,BILC,"['got', 'online', 'account']",ACCOUNT,create_account,response for create_account
126,BILQ,"['tell', 'create', 'several', 'profile', 'email', 'address']",ACCOUNT,create_account,response for create_account
127,BPLZ,"['want', 'know', 'register', 'two', 'user', 'account', 'email', 'address', 'please']",ACCOUNT,create_account,response for create_account
128,BLQWC,"['havent', 'got', 'fucking', 'profile', 'help', 'create', 'one']",ACCOUNT,create_account,response for create_account
129,BIC,"['need', 'account']",ACCOUNT,create_account,response for create_account
130,BILC,"['got', 'online', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
131,BILC,"['account', 'register']",ACCOUNT,create_account,response for create_account
132,BICZ,"['want', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
133,BLC,"['need', 'online', 'account', 'help', 'open', 'one']",ACCOUNT,create_account,response for create_account
134,BLC,"['online', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
135,BLCZ,"['need', 'online', 'accoung', 'want', 'creaet', 'one']",ACCOUNT,create_account,response for create_account
136,BILC,"['want', 'open', 'account']",ACCOUNT,create_account,response for create_account
137,BML,"['tell', 'register', 'one', 'profile', 'email']",ACCOUNT,create_account,response for create_account
138,BIQCZ,"['account', 'creage', 'one']",ACCOUNT,create_account,response for create_account
139,BILC,"['got', 'account', 'register']",ACCOUNT,create_account,response for create_account
140,BILQCZ,"['want', 'opem', 'online', 'account']",ACCOUNT,create_account,response for create_account
141,BPML,"['please', 'tell', 'could', 'create', 'one', 'account', 'single', 'email']",ACCOUNT,create_account,response for create_account
142,BILC,"['need', 'profile', 'create', 'one']",ACCOUNT,create_account,response for create_account
143,BILCZ,"['need', 'profile', 'create', 'one']",ACCOUNT,create_account,response for create_account
144,BIC,"['account', 'create', 'one']",ACCOUNT,create_account,response for create_account
145,BIPMLQZ,"['could', 'tell', 'oculd', 'several', 'online', 'account']",ACCOUNT,create_account,response for create_account
146,BIL,"['create', 'user', 'account']",ACCOUNT,create_account,response for create_account
147,BIML,"['tell', 'create', 'one', 'user', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
148,BLQC,"['havent', 'got', 'online', 'account', 'want', 'create', 'one']",ACCOUNT,create_account,response for create_account
149,B,"['need', 'account']",ACCOUNT,create_account,response for create_account
150,BLC,"['profile', 'want', 'create', 'one']",ACCOUNT,create_account,response for create_account
151,BILQC,"['want', 'open', 'online', 'account']",ACCOUNT,create_account,response for create_account
152,BILQCZ,"['wantto', 'open', 'use', 'account']",ACCOUNT,create_account,response for create_account
153,BILWC,"[""i've"", 'got', 'fucking', 'user', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
154,BL,"['want', 'know', 'register', 'several', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
155,BLC,"['need', 'user', 'account', 'help', 'create', 'one']",ACCOUNT,create_account,response for create_account
156,BIPLQWC,"['fucking', 'user', 'account', 'u', 'open', 'one', 'please']",ACCOUNT,create_account,response for create_account
157,BPLZ,"['please', 'want', 'know', 'create', 'two', 'account', 'email']",ACCOUNT,create_account,response for create_account
158,BILC,"['profile', 'create', 'one']",ACCOUNT,create_account,response for create_account
159,BPLQW,"['want', 'know', 'register', 'several', 'fucking', 'online', 'account', 'single', 'email', 'address', 'please']",ACCOUNT,create_account,response for create_account
160,BILC,"['got', 'user', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
161,BILEWC,"['fucking', 'account', 'register']",ACCOUNT,create_account,response for create_account
162,BSLC,"['got', 'profile', 'need', 'help', 'creating', 'one']",ACCOUNT,create_account,response for create_account
163,BLC,"['user', 'account', 'want', 'create', 'one']",ACCOUNT,create_account,response for create_account
164,BLQC,"['ive', 'got', 'online', 'account', 'wanna', 'create', 'one']",ACCOUNT,create_account,response for create_account
165,BPLW,"['tell', 'create', 'several', 'fucking', 'online', 'account', 'single', 'email', 'address', 'please']",ACCOUNT,create_account,response for create_account
166,BIMLQ,"['tell', 'create', 'one', 'profile', 'email']",ACCOUNT,create_account,response for create_account
167,BIL,"['tell', 'register', 'several', 'online', 'account', 'email']",ACCOUNT,create_account,response for create_account
168,BLC,"['user', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
169,BILQC,"['need', 'user', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
170,BLC,"['got', 'account', 'help', 'open', 'one']",ACCOUNT,create_account,response for create_account
171,BLQCZ,"['need', 'online', 'account', 'help', 'createone']",ACCOUNT,create_account,response for create_account
172,BIQC,"['account', 'create', 'one']",ACCOUNT,create_account,response for create_account
173,BLD,"['ask', 'agent', 'create', 'profile']",ACCOUNT,create_account,response for create_account
174,BILC,"[""i've"", 'got', 'account', 'register']",ACCOUNT,create_account,response for create_account
175,BIPLC,"[""i've"", 'got', 'online', 'account', 'could', 'open', 'one', 'please']",ACCOUNT,create_account,response for create_account
176,BILQCZ,"['user', 'account', 'cvan', 'register']",ACCOUNT,create_account,response for create_account
177,BIPMLWZ,"['could', 'tell', 'regitser', 'one', 'fucking', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
178,BLC,"[""i've"", 'got', 'online', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
179,BIMLQ,"['tell', 'register', 'one', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
180,BIL,"['create', 'several', 'profile', 'email', 'address']",ACCOUNT,create_account,response for create_account
181,BIL,"['register', 'two', 'account', 'single', 'email']",ACCOUNT,create_account,response for create_account
182,BILC,"['user', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
183,BLC,"['account', 'open', 'one']",ACCOUNT,create_account,response for create_account
184,BLC,"['online', 'account', 'help', 'open', 'one']",ACCOUNT,create_account,response for create_account
185,BL,"['tell', 'register', 'several', 'profile', 'email']",ACCOUNT,create_account,response for create_account
186,BLZ,"['tell', 'rehister', 'two', 'profile', 'email']",ACCOUNT,create_account,response for create_account
187,BILQCZ,"['havent', 'got', 'suer', 'account', 'haveto']",ACCOUNT,create_account,response for create_account
188,BIL,"['create', 'two', 'account', 'email']",ACCOUNT,create_account,response for create_account
189,BILC,"['want', 'create', 'user', 'account']",ACCOUNT,create_account,response for create_account
190,BL,"['open', 'account']",ACCOUNT,create_account,response for create_account
191,BILQC,"['want', 'create', 'profile']",ACCOUNT,create_account,response for create_account
192,BIPLEC,"['would', 'like', 'open', 'user', 'account']",ACCOUNT,create_account,response for create_account
193,BIQ,"['create', 'account']",ACCOUNT,create_account,response for create_account
194,BIL,['register'],ACCOUNT,create_account,response for create_account
195,BILC,"[""i've"", 'got', 'profile', 'create', 'one']",ACCOUNT,create_account,response for create_account
196,BPLQ,"['want', 'know', 'could', 'register', 'several', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
197,BLC,"['user', 'account', 'want', 'open', 'one']",ACCOUNT,create_account,response for create_account
198,BD,"['ask', 'agent', 'create', 'account']",ACCOUNT,create_account,response for create_account
199,BIPLQ,"['tell', 'could', 'create', 'two', 'online', 'account', 'email', 'please']",ACCOUNT,create_account,response for create_account
200,BLEC,"['account', 'help', 'register']",ACCOUNT,create_account,response for create_account
201,BLC,"[""i've"", 'got', 'user', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
202,BIPLQCZ,"['haev', 'profile', 'could', 'create', 'one']",ACCOUNT,create_account,response for create_account
203,BML,"['tell', 'register', 'one', 'user', 'account', 'single', 'email']",ACCOUNT,create_account,response for create_account
204,BILQ,"['create', 'two', 'online', 'account', 'email']",ACCOUNT,create_account,response for create_account
205,BPLDW,"['please', 'ask', 'agent', 'could', 'create', 'fucking', 'profile']",ACCOUNT,create_account,response for create_account
206,BD,"['ask', 'agent', 'create', 'account']",ACCOUNT,create_account,response for create_account
207,BILCZ,"['user', 'account', 'dp', 'register']",ACCOUNT,create_account,response for create_account
208,BL,"['want', 'know', 'create', 'several', 'profile', 'email']",ACCOUNT,create_account,response for create_account
209,BILC,"['online', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
210,BLC,"['online', 'account', 'register']",ACCOUNT,create_account,response for create_account
211,BILQ,"['create', 'two', 'online', 'account', 'email']",ACCOUNT,create_account,response for create_account
212,BSL,"['need', 'help', 'creating', 'online', 'account']",ACCOUNT,create_account,response for create_account
213,BPLWZ,"['please', 'want', 'know', 'create', 'two', 'fucking', 'online', 'account', 'eith', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
214,BLQC,"['ive', 'got', 'user', 'account', 'register']",ACCOUNT,create_account,response for create_account
215,BILC,"['online', 'account', 'help']",ACCOUNT,create_account,response for create_account
216,BILC,"['got', 'user', 'account']",ACCOUNT,create_account,response for create_account
217,BIPL,"['could', 'tell', 'could', 'register', 'several', 'online', 'account', 'single', 'email', 'address', 'please']",ACCOUNT,create_account,response for create_account
218,BMLQZ,"['wanna', 'knwo', 'create', 'one', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
219,BIPMLW,"['please', 'could', 'tell', 'could', 'create', 'one', 'fucking', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
220,BSLC,"['online', 'account', 'need', 'help', 'opening', 'one']",ACCOUNT,create_account,response for create_account
221,BILC,"['want', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
222,BQ,"['wanna', 'know', 'register', 'two', 'account', 'email']",ACCOUNT,create_account,response for create_account
223,BL,"['want', 'know', 'register', 'several', 'online', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
224,BILC,"['got', 'online', 'account', 'register']",ACCOUNT,create_account,response for create_account
225,BIC,"['want', 'create', 'account']",ACCOUNT,create_account,response for create_account
226,BILQC,"['want', 'profile']",ACCOUNT,create_account,response for create_account
227,BL,"['tell', 'create', 'several', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
228,BIPLWC,"[""i'd"", 'like', 'fucking', 'online', 'account', 'could', 'open', 'one']",ACCOUNT,create_account,response for create_account
229,BIML,"['tell', 'register', 'one', 'profile', 'single', 'email']",ACCOUNT,create_account,response for create_account
230,BILEQC,"['dont', 'user', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
231,BILC,"['profile', 'create', 'one']",ACCOUNT,create_account,response for create_account
232,BIQC,"['need', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
233,BIPLQ,"['tell', 'could', 'register', 'several', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
234,BIQC,"['want', 'create', 'account']",ACCOUNT,create_account,response for create_account
235,BIPLQC,"['ive', 'got', 'user', 'account', 'could', 'open', 'one']",ACCOUNT,create_account,response for create_account
236,BM,"['tell', 'register', 'one', 'account', 'email']",ACCOUNT,create_account,response for create_account
237,BLQ,"['wanna', 'know', 'register', 'two', 'online', 'account', 'email']",ACCOUNT,create_account,response for create_account
238,BILC,"['account', 'register']",ACCOUNT,create_account,response for create_account
239,BILQ,"['register', 'several', 'user', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
240,BICZ,"['got', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
241,BLQCZ,"['need', 'profile', 'want', 'tto', 'create', 'one']",ACCOUNT,create_account,response for create_account
242,BLC,"['account', 'register']",ACCOUNT,create_account,response for create_account
243,BILC,"['want', 'profile', 'create', 'one']",ACCOUNT,create_account,response for create_account
244,BIC,"['got', 'account']",ACCOUNT,create_account,response for create_account
245,BIPLEWC,"['would', 'like', 'fucking', 'profile']",ACCOUNT,create_account,response for create_account
246,BILQC,"['want', 'user', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
247,BLZ,"['tell', 'register', 'several', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
248,BIML,"['create', 'one', 'profile', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
249,BILC,"['user', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
250,BILC,['profile'],ACCOUNT,create_account,response for create_account
251,BLQ,"['wanna', 'know', 'create', 'two', 'profile', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
252,BL,"['tell', 'register', 'two', 'online', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
253,BILQC,"['want', 'online', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
254,BILQC,"['wanna', 'open', 'user', 'account']",ACCOUNT,create_account,response for create_account
255,BILC,"[""i've"", 'got', 'user', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
256,BIMLZ,"['register', 'one', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
257,BSLC,"['want', 'user', 'account', 'need', 'help', 'opening', 'one']",ACCOUNT,create_account,response for create_account
258,BIPLQC,"['user', 'account', 'u', 'open', 'one', 'please']",ACCOUNT,create_account,response for create_account
259,BILC,"['profile', 'help']",ACCOUNT,create_account,response for create_account
260,BILC,"['got', 'online', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
261,BQCZ,"['want', 'account', 'wanna', 'create', 'one']",ACCOUNT,create_account,response for create_account
262,BML,"['want', 'know', 'create', 'one', 'account', 'email']",ACCOUNT,create_account,response for create_account
263,BILQCZ,"['ive', 'got', 'online', 'account']",ACCOUNT,create_account,response for create_account
264,BILC,"['want', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
265,BIC,"['account', 'create', 'one']",ACCOUNT,create_account,response for create_account
266,BIPML,"['could', 'tell', 'could', 'register', 'one', 'online', 'account', 'email']",ACCOUNT,create_account,response for create_account
267,BILWC,"[""i've"", 'got', 'fucking', 'account', 'register']",ACCOUNT,create_account,response for create_account
268,BLQC,"['online', 'account', 'want', 'open', 'one']",ACCOUNT,create_account,response for create_account
269,BIPLQW,"['please', 'could', 'tell', 'create', 'several', 'fucking', 'user', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
270,BPLQW,"['want', 'know', 'could', 'create', 'two', 'fucking', 'user', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
271,BSLC,"['got', 'online', 'account', 'need', 'help', 'registering']",ACCOUNT,create_account,response for create_account
272,BL,['register'],ACCOUNT,create_account,response for create_account
273,BIPMLQ,"['please', 'could', 'tell', 'could', 'register', 'one', 'account', 'single', 'email']",ACCOUNT,create_account,response for create_account
274,BLCZ,"['hace', 'account', 'want', 'register']",ACCOUNT,create_account,response for create_account
275,BML,"['tell', 'create', 'one', 'online', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
276,BL,"['tell', 'register', 'two', 'user', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
277,BPLQ,"['wanna', 'know', 'could', 'create', 'several', 'online', 'account', 'email', 'address', 'please']",ACCOUNT,create_account,response for create_account
278,BIQC,"['need', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
279,BILQ,"['register', 'two', 'online', 'account', 'email']",ACCOUNT,create_account,response for create_account
280,BL,"['want', 'know', 'create', 'several', 'online', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
281,BILC,"[""i've"", 'got', 'user', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
282,BILC,"['need', 'profile', 'create', 'one']",ACCOUNT,create_account,response for create_account
283,BILQC,"['want', 'online', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
284,BLD,"['ask', 'agent', 'open', 'user', 'account']",ACCOUNT,create_account,response for create_account
285,BL,"['want', 'know', 'register', 'two', 'user', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
286,BLQ,"['want', 'know', 'create', 'two', 'user', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
287,BIML,"['register', 'one', 'user', 'account', 'email']",ACCOUNT,create_account,response for create_account
288,BILC,"['need', 'online', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
289,BL,"['user', 'account']",ACCOUNT,create_account,response for create_account
290,BLC,"[""i've"", 'got', 'online', 'account', 'want', 'open', 'one']",ACCOUNT,create_account,response for create_account
291,BLQ,"['want', 'profile']",ACCOUNT,create_account,response for create_account
292,BILQCZ,"['online', 'account', 'van']",ACCOUNT,create_account,response for create_account
